Cartographie PMSI; ; 
Référentiel géographique : France par code géographique PMSI; ; 
Code;Libellé;Séjours PMSI MCO au lieu de résidence 2018
03630;DÉSERTINES;N/A
03700;BELLERIVE-SUR-ALLIER;N/A
03800;GANNAT;N/A
04000;DIGNE-LES-BAINS;N/A
04100;MANOSQUE;N/A
04120;CASTELLANE;N/A
04130;VOLX;N/A
04140;SEYNE;N/A
04150;BANON;N/A
04170;SAINT-ANDRÉ-LES-ALPES;N/A
04180;VILLENEUVE;N/A
04190;LES MÉES;N/A
04200;SISTERON;N/A
04210;VALENSOLE;N/A
04220;SAINTE-TULLE;N/A
04230;SAINT-ÉTIENNE-LES-ORGUES;N/A
04240;ANNOT;N/A
04250;LA MOTTE-DU-CAIRE;N/A
04270;MÉZEL;N/A
04290;VOLONNE;N/A
04300;FORCALQUIER;N/A
04320;ENTREVAUX;N/A
04330;BARRÊME;N/A
04420;LE BRUSQUET;N/A
04500;RIEZ;N/A
04700;ORAISON;N/A
04800;GRÉOUX-LES-BAINS;N/A
04860;PIERREVERT;N/A
04C01;SAINT-PAUL-SUR-UBAYE/JAUSIERS;N/A
04C02;COLMARS/ALLOS;N/A
04C03;PUIMOISSON/MOUSTIERS-SAINTE-M;N/A
04C04;SAINT-MICHEL-L'OBSERVATOIRE/R;N/A
04C06;THOARD/CHAMPTERCIER;N/A
04C07;UBAYE-SERRE-PONÇON/BARCELONNE;N/A
04C08;PEYRUIS/CHÂTEAU-ARNOUX-SAINT-;N/A
04C09;MALIJAI;N/A
05000;GAP;N/A
05100;BRIANÇON;N/A
05110;LA SAULCE;N/A
05120;L'ARGENTIÈRE-LA-BESSÉE;N/A
05130;TALLARD;N/A
05140;ASPRES-SUR-BUËCH;N/A
05150;ROSANS;N/A
05160;SAVINES-LE-LAC;N/A
05190;ESPINASSES;N/A
05230;CHORGES;N/A
05300;LARAGNE-MONTÉGLIN;N/A
05310;LA ROCHE-DE-RAME;N/A
05330;SAINT-CHAFFREY;N/A
05400;VEYNES;N/A
05700;SERRES;N/A
05800;AUBESSAGNE;N/A
05C01;VILLAR-D'ARÊNE/LE MONÊTIER-LE;N/A
05C02;EMBRUN/CHÂTEAUROUX-LES-ALPES;N/A
05C03;ARVIEUX/AIGUILLES/ABRIÈS-RIST;N/A
05C04;VALLOUISE-PELVOUX;N/A
05C05;VARS/GUILLESTRE;N/A
05C06;SAINT-BONNET-EN-CHAMPSAUR/DÉV;N/A
05C07;SAINT-JEAN-SAINT-NICOLAS/ORCI;N/A
06000;NICE;15
06110;LE CANNET;N/A
06130;GRASSE;N/A
06140;VENCE;N/A
06190;ROQUEBRUNE-CAP-MARTIN;N/A
06210;MANDELIEU-LA-NAPOULE;N/A
06220;VALLAURIS;N/A
06230;VILLEFRANCHE-SUR-MER;N/A
06240;BEAUSOLEIL;N/A
06250;MOUGINS;N/A
06260;PUGET-THÉNIERS;N/A
06270;VILLENEUVE-LOUBET;N/A
06310;BEAULIEU-SUR-MER;N/A
06320;CAP-D'AIL;N/A
06330;ROQUEFORT-LES-PINS;N/A
06340;LA TRINITÉ;N/A
06360;ÈZE;N/A
06370;MOUANS-SARTOUX;N/A
06380;SOSPEL;N/A
06390;CONTES;N/A
06400;CANNES;N/A
06410;BIOT;N/A
06420;VALDEBLORE;N/A
06430;TENDE;N/A
06440;L'ESCARÈNE;N/A
06450;ROQUEBILLIÈRE;N/A
06460;SAINT-VALLIER-DE-THIEY;N/A
06470;PÉONE;N/A
06480;LA COLLE-SUR-LOUP;N/A
06500;MENTON;N/A
06510;CARROS;N/A
06530;PEYMEINADE;N/A
06540;BREIL-SUR-ROYA;N/A
06550;LA ROQUETTE-SUR-SIAGNE;N/A
06560;VALBONNE;N/A
06570;SAINT-PAUL-DE-VENCE;N/A
06580;PÉGOMAS;N/A
06590;THÉOULE-SUR-MER;N/A
06600;ANTIBES;N/A
06610;LA GAUDE;N/A
06620;LE BAR-SUR-LOUP;N/A
06640;SAINT-JEANNET;N/A
06650;LE ROURET;N/A
06660;SAINT-ÉTIENNE-DE-TINÉE;N/A
06670;LEVENS;N/A
06690;TOURRETTE-LEVENS;N/A
06700;SAINT-LAURENT-DU-VAR;N/A
06710;VILLARS-SUR-VAR;N/A
06730;SAINT-ANDRÉ-DE-LA-ROCHE;N/A
06740;CHÂTEAUNEUF-GRASSE;N/A
06790;ASPREMONT;N/A
06800;CAGNES-SUR-MER;N/A
06810;AURIBEAU-SUR-SIAGNE;N/A
06830;GILETTE;N/A
06910;ROQUESTÉRON;N/A
06950;FALICON;N/A
06C01;SAINT-AUBAN/ANDON;N/A
07000;PRIVAS;N/A
07100;ANNONAY;N/A
07110;LARGENTIÈRE;N/A
07120;RUOMS;N/A
07130;SAINT-PÉRAY;N/A
07140;LES VANS;N/A
07150;VALLON-PONT-D'ARC;N/A
07160;LE CHEYLARD;N/A
07190;SAINT-SAUVEUR-DE-MONTAGUT;N/A
07200;AUBENAS;N/A
07210;CHOMÉRAC;N/A
07220;VIVIERS;N/A
07230;LABLACHÈRE;N/A
07240;VERNOUX-EN-VIVARAIS;N/A
07260;JOYEUSE;N/A
07270;LAMASTRE;N/A
07290;QUINTENAS;N/A
07300;TOURNON-SUR-RHÔNE;N/A
07310;SAINT-MARTIN-DE-VALAMAS;N/A
07330;THUEYTS;N/A
07340;PEAUGRES;N/A
07350;CRUAS;N/A
07360;LES OLLIÈRES-SUR-EYRIEUX;N/A
07370;SARRAS;N/A
07380;PRADES;N/A
07400;LE TEIL;N/A
07410;SAINT-FÉLICIEN;N/A
07430;DAVÉZIEUX;N/A
07440;ALBOUSSIÈRE;N/A
07460;SAINT-PAUL-LE-JEUNE;N/A
07470;COUCOURON;N/A
07500;GUILHERAND-GRANGES;N/A
07530;VALLÉES-D‹ANTRAIGUES-ASPERJOC;N/A
07570;DÉSAIGNES;N/A
07600;VALS-LES-BAINS;N/A
07610;VION;N/A
07690;VILLEVOCANCE;N/A
07700;BOURG-SAINT-ANDÉOL;N/A
07790;SAINT-ALBAN-D'AY;N/A
07C01;VILLENEUVE-DE-BERG/SAINT-JEAN;N/A
07C02;SAINT-PIERRE-DE-COLOMBIER/MON;N/A
07C03;SAINT-ÉTIENNE-DE-LUGDARÈS/LES;N/A
07C04;SAINTE-EULALIE/LE BÉAGE;N/A
07C05;SAINT-AGRÈVE/LALOUVESC;N/A
07C06;LE POUZIN/LA VOULTE-SUR-RHÔNE;N/A
08000;CHARLEVILLE-MÉZIÈRES;15
08090;AIGLEMONT;N/A
08110;CARIGNAN;N/A
08120;BOGNY-SUR-MEUSE;N/A
08130;ATTIGNY;N/A
08140;BAZEILLES;N/A
08150;RENWEZ;N/A
08160;NOUVION-SUR-MEUSE;N/A
08170;FUMAY;N/A
08190;ASFELD;N/A
08200;SEDAN;N/A
08210;MOUZON;N/A
08220;ROCQUIGNY;N/A
08230;ROCROI;N/A
08240;BUZANCY;N/A
08250;GRANDPRÉ;N/A
08260;MAUBERT-FONTAINE;N/A
08270;SAULCES-MONCLIN;N/A
08290;LIART;N/A
08300;RETHEL;N/A
08310;JUNIVILLE;N/A
08320;VIREUX-WALLERAND;N/A
08330;VRIGNE AUX BOIS;N/A
08350;VRIGNE AUX BOIS;N/A
08360;CHÂTEAU-PORCIEN;N/A
08370;MARGUT;N/A
08380;SIGNY-LE-PETIT;N/A
08390;BAIRON ET SES ENVIRONS;N/A
08400;VOUZIERS;N/A
08440;VIVIER-AU-COURT;N/A
08450;RAUCOURT-ET-FLABA;N/A
08460;SIGNY-L'ABBAYE;N/A
08500;REVIN;N/A
08600;GIVET;N/A
08700;NOUZONVILLE;N/A
08800;MONTHERMÉ;N/A
08C01;POIX-TERRON/BOULZICOURT;N/A
09000;FOIX;N/A
09100;PAMIERS;N/A
09120;VARILHES;N/A
09130;LE FOSSAT;N/A
09140;SEIX;N/A
09160;PRAT-BONREPAUX;N/A
09190;LORP-SENTARAILLE;N/A
09200;SAINT-GIRONS;N/A
09210;LÉZAT-SUR-LÈZE;N/A
09220;VAL-DE-SOS;N/A
09230;SAINTE-CROIX-VOLVESTRE;N/A
09240;LA BASTIDE-DE-SÉROU;N/A
09250;LUZENAC;N/A
09270;MAZÈRES;N/A
09290;LE MAS-D'AZIL;N/A
09300;LAVELANET;N/A
09310;LES CABANNES;N/A
09320;MASSAT;N/A
09330;MONTGAILLARD;N/A
09340;VERNIOLLE;N/A
09350;DAUMAZAN-SUR-ARIZE;N/A
09400;TARASCON-SUR-ARIÈGE;N/A
09420;RIMONT;N/A
09500;MIREPOIX;N/A
09600;LAROQUE-D'OLMES;N/A
09700;SAVERDUN;N/A
09800;CASTILLON-EN-COUSERANS;N/A
09C01;QUÉRIGUT/L'HOSPITALET-PRÈS-L';N/A
10000;TROYES;17
10100;ROMILLY-SUR-SEINE;17
10110;BAR-SUR-SEINE;N/A
10120;SAINT-ANDRÉ-LES-VERGERS;N/A
10130;ERVY-LE-CHÂTEL;N/A
10140;VENDEUVRE-SUR-BARSE;N/A
10150;PONT-SAINTE-MARIE;N/A
10170;MÉRY-SUR-SEINE;N/A
10180;SAINT-LYÉ;N/A
10200;BAR-SUR-AUBE;N/A
10210;CHAOURCE;N/A
10220;PINEY;N/A
10230;MAILLY-LE-CAMP;N/A
10240;RAMERUPT;N/A
10250;MUSSY-SUR-SEINE;N/A
10260;SAINT-PARRES-LÈS-VAUDES;N/A
10270;LUSIGNY-SUR-BARSE;N/A
10280;FONTAINE-LES-GRÈS;N/A
10290;MARCILLY-LE-HAYER;N/A
10300;SAINTE-SAVINE;N/A
10310;VILLE-SOUS-LA-FERTÉ;N/A
10320;BOUILLY;N/A
10330;CHAVANGES;N/A
10340;LES RICEYS;N/A
10350;MARIGNY-LE-CHÂTEL;N/A
10360;ESSOYES;N/A
10370;VILLENAUXE-LA-GRANDE;N/A
10380;PLANCY-L'ABBAYE;N/A
10390;VERRIÈRES;N/A
10400;NOGENT-SUR-SEINE;14
10410;SAINT-PARRES-AUX-TERTRES;N/A
10420;LES NOËS-PRÈS-TROYES;N/A
10430;ROSIÈRES-PRÈS-TROYES;N/A
